scenario,replicate,seed,generation,total,suppressor_fraction
TSG one-hit,0,10042,0,100,0.0
TSG one-hit,0,10042,1,119,0.0
TSG one-hit,0,10042,2,179,0.0111731843575419
TSG one-hit,0,10042,3,264,0.015151515151515152
TSG one-hit,0,10042,4,371,0.029649595687331536
TSG one-hit,0,10042,5,544,0.03676470588235294
TSG one-hit,0,10042,6,741,0.04048582995951417
TSG one-hit,0,10042,7,1089,0.047750229568411386
TSG one-hit,0,10042,8,1600,0.063125
TSG one-hit,0,10042,9,2334,0.07412167952013711
TSG one-hit,0,10042,10,3398,0.09181871689228958
TSG one-hit,0,10042,11,4892,0.11140637775960752
TSG one-hit,0,10042,12,7256,0.13533627342888643
TSG one-hit,0,10042,13,10789,0.1575678932245806
TSG one-hit,0,10042,14,15822,0.18430034129692832
TSG one-hit,0,10042,15,23597,0.20837394584057295
TSG one-hit,0,10042,16,35258,0.23835725225480742
TSG one-hit,0,10042,17,53350,0.26954076850984066
TSG one-hit,0,10042,18,81413,0.3027280655423581
TSG one-hit,1,10043,0,100,0.0
TSG one-hit,1,10043,1,128,0.0
TSG one-hit,1,10043,2,194,0.010309278350515464
TSG one-hit,1,10043,3,271,0.01845018450184502
TSG one-hit,1,10043,4,373,0.024128686327077747
TSG one-hit,1,10043,5,546,0.023809523809523808
TSG one-hit,1,10043,6,758,0.032981530343007916
TSG one-hit,1,10043,7,1082,0.04066543438077634
TSG one-hit,1,10043,8,1575,0.06095238095238095
TSG one-hit,1,10043,9,2340,0.08076923076923077
TSG one-hit,1,10043,10,3466,0.09203693017888055
TSG one-hit,1,10043,11,5092,0.10840534171249018
TSG one-hit,1,10043,12,7723,0.1268936941603004
TSG one-hit,1,10043,13,11696,0.14928180574555402
TSG one-hit,1,10043,14,17795,0.17201461084574318
TSG one-hit,1,10043,15,27384,0.1937262635115396
TSG one-hit,1,10043,16,42166,0.21927619409002513
TSG one-hit,1,10043,17,65789,0.24639377403517304
TSG one-hit,1,10043,18,103594,0.27412784524200245
TSG one-hit,2,10044,0,100,0.0
TSG one-hit,2,10044,1,140,0.0
